date,hold,buy,sell,choice,daily profit,total profit
2019-05-27,-1.0,-1.0,-1.0,2,0.0,0.0
2019-05-28,-1.0,-1.0,-1.0,2,0.0,0.0
2019-05-29,-1.0,-1.0,-1.0,1,0.0,0.0
2019-05-30,34.47011184692383,34.01897048950195,35.16824722290039,2,3.3599985855264523,0.0
2019-05-31,-1.0,-1.0,-1.0,1,0.0,0.0
2019-06-01,-1.0,-1.0,-1.0,0,5.159983063984131,0.0
2019-06-02,-1.0,-1.0,-1.0,2,-1.8799642250081938,0.0
2019-06-03,29.28720474243164,28.974895477294922,29.72170639038086,2,0.0,0.0
2019-06-04,-1.0,-1.0,-1.0,0,4.100031638298731,0.0
2019-06-05,27.524560928344727,27.196056365966797,27.93577003479004,2,0.0,0.0
2019-06-06,-1.0,-1.0,-1.0,0,0.8199653138981806,0.0
2019-06-07,24.907672882080078,24.58793067932129,25.219722747802734,2,0.0,0.0
2019-06-08,23.956283569335938,23.654342651367188,24.246477127075195,2,0.0,0.0
2019-06-09,-1.0,-1.0,-1.0,0,-2.080070698716196,0.0
2019-06-10,-1.0,-1.0,-1.0,2,0.0,0.0
2019-06-11,21.967866897583008,21.733978271484375,22.26852035522461,2,0.0,0.0
2019-06-12,21.78666114807129,21.575571060180664,22.133834838867188,2,0.0,0.0
2019-06-13,20.303239822387695,20.124597549438477,20.654478073120117,2,0.0,0.0
2019-06-14,20.420793533325195,20.24581527709961,20.797250747680664,2,0.0,0.0
2019-06-15,19.352909088134766,19.197629928588867,19.710451126098633,2,0.0,0.0
2019-06-16,18.77064323425293,18.628135681152344,19.11919593811035,2,0.0,0.0
2019-06-17,18.767953872680664,18.63065528869629,19.131858825683594,2,0.0,0.0
2019-06-18,18.600393295288086,18.468870162963867,18.974285125732422,2,0.0,0.0
2019-06-19,-1.0,-1.0,-1.0,1,0.0,0.0
2019-06-20,17.154687881469727,17.056743621826172,17.477500915527344,2,3.569960501214882,0.0
2019-06-21,-1.0,-1.0,-1.0,0,0.1999807984495827,0.0
2019-06-22,-1.0,-1.0,-1.0,0,0.07002949097772662,0.0
2019-06-23,-1.0,-1.0,-1.0,1,0.0,0.0
2019-06-24,15.87985610961914,15.801669120788574,16.13719367980957,2,1.9700519138328432,0.0
2019-06-25,15.67916488647461,15.597289085388184,15.931754112243652,2,0.0,0.0
2019-06-26,-1.0,-1.0,-1.0,0,-0.0699980032051256,0.0
2019-06-27,15.442902565002441,15.345877647399902,15.706223487854004,2,0.0,0.0
2019-06-28,14.92959976196289,14.834394454956055,15.194794654846191,2,0.0,0.0
2019-06-29,-1.0,-1.0,-1.0,2,0.0,0.0
2019-06-30,-1.0,-1.0,-1.0,2,0.0,0.0
2019-07-01,-1.0,-1.0,-1.0,0,-1.480002628385619,0.0
2019-07-02,-1.0,-1.0,-1.0,1,0.0,0.0
2019-07-03,13.99431324005127,13.96528148651123,14.239707946777344,2,-2.2800201774563162,0.0
2019-07-04,13.090641975402832,13.089754104614258,13.291121482849121,2,0.0,0.0
2019-07-05,-1.0,-1.0,-1.0,0,-0.5415949300773194,0.0
2019-07-06,-1.0,-1.0,-1.0,2,0.0,0.0
2019-07-07,-1.0,-1.0,-1.0,0,1.339989241480532,0.0
2019-07-08,12.37466812133789,12.465843200683594,12.546377182006836,2,0.0,0.0
2019-07-09,-1.0,-1.0,-1.0,0,-4.7499456060714955,0.0
2019-07-10,11.170124053955078,11.291109085083008,11.299327850341797,2,0.0,0.0
2019-07-11,10.840409278869629,10.97569751739502,10.959246635437012,1,0.0,0.0
2019-07-12,-1.0,-1.0,-1.0,2,-1.1600097747060445,0.0
2019-07-13,11.071863174438477,11.236634254455566,11.20418930053711,1,0.0,0.0
2019-07-14,-1.0,-1.0,-1.0,1,0.0,0.0
2019-07-15,10.053004264831543,10.219508171081543,10.16379451751709,1,0.0,0.0
2019-07-16,-1.0,-1.0,-1.0,0,2.8100666547442144,0.0
2019-07-17,9.97020435333252,10.12061595916748,10.104116439819336,1,0.0,0.0
2019-07-18,9.440986633300781,9.578129768371582,9.567107200622559,1,0.0,0.0
2019-07-19,9.622143745422363,9.744309425354004,9.770557403564453,2,-0.4299699321750395,0.0
